,Sort,Source,Edition,Page,URL,Pub Date,Ad Type,Seek/Offer,Number Sought/Offered,Ad Price Amt,Ad Price Period,Ad Placer Name,Ad Placer Sex,Advertised Occupations,Slave Name,Slave Origin,Slave Sex,Slave Age,Slave Color,Slave Status,Location,Location City,Ad Transcription,OBS,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
1131,113,Jornal do Commercio,155,4,http://memoria.bn.br/DocReader/364568_03/606,10-Jun-1840,venda,oferecendo serviço,1,,,,,de roça,,,M,17,preto,escravo,"Rua do Parto, 102",,"VENDEM-SE dous pretos de roça, hum de 17 annos de idade, e outro de 24: dão se muito em conta por se precisar do seu importe; na rua do Parto, n. 102.",,,,,,,,,,,,,,,,
1132,114,Jornal do Commercio,155,4,http://memoria.bn.br/DocReader/364568_03/606,10-Jun-1840,venda,oferecendo serviço,1,,,,,de roça,,,M,24,preto,escravo,"Rua do Parto, 102",,"VENDEM-SE dous pretos de roça, hum de 17 annos de idade, e outro de 24: dão se muito em conta por se precisar do seu importe; na rua do Parto, n. 102.",,,,,,,,,,,,,,,,
1133,115,Jornal do Commercio,155,4,http://memoria.bn.br/DocReader/364568_03/606,10-Jun-1840,venda,oferecendo serviço,1,,,,,lavadeira e cozinheira,,,F,,preta,escrava,"Rua do Rosário, 144",,"VENDE-SE huma preta muito reforçada, perfeita lavadeira e cozinheira; na rua do Rozario, n. 144.",,,,,,,,,,,,,,,,
1134,116,Jornal do Commercio,155,4,http://memoria.bn.br/DocReader/364568_03/606,10-Jun-1840,venda,oferecendo serviço,1,200$000,,,,"lavadeira, cozinheira e quitandeira",,,F,,preta,escrava,"Rua do Piolho, 40",,"VENDE-SE huma preta de meia idade por 200$ rs. a qual lava, cozinha, carrega agua, e vende quitanda; na rua Piolho, n. 40.",,,,,,,,,,,,,,,,
1135,117,Jornal do Commercio,155,4,http://memoria.bn.br/DocReader/364568_03/606,10-Jun-1840,aluguel,procurando serviço,>1,,,,,lustrador de madeira,,,M/ F,,,escravos,"Rua do Cano, 215",,"PRECISA-SE alugar escravos que saibão lustrar madeira a lustro francez, sendo certo o seu pagamento por mez ou semana; na rua do Cano, n. 215.",,,,,,,,,,,,,,,,
1136,118,Jornal do Commercio,155,4,http://memoria.bn.br/DocReader/364568_03/606,10-Jun-1840,aluguel,procurando serviço,1,,,,,mocamba,,,F,,,escrava,"Rua dos Inválidos, 104",,"PRECISA-SE alugar, de casa particular, huma mocamba que, além do arranjo de huma casa, saiba coser e engommar com perfeição e não tenha vícios: não se duvidando depois comprá-la , se agradar o seu serviço e comportamento: na rua dos Invalidos n. 104.",,,,,,,,,,,,,,,,
1137,119,Jornal do Commercio,155,4,http://memoria.bn.br/DocReader/364568_03/606,10-Jun-1840,aluguel,oferecendo serviço,1,,,,,mocamba,,,F,,preta,escrava,"Rua do Catete, 1",,"ALUGA-SE, na rua do Catete n. 1, huma preta sabendo coser e engommar, e propria para mocamba, a qual só se aluga para portas a dentro: na mesma casa se vende huma preta que sabe cozinhar, lavar e engommar.",,,,,,,,,,,,,,,,
1138,120,Jornal do Commercio,155,4,http://memoria.bn.br/DocReader/364568_03/606,10-Jun-1840,venda,oferecendo serviço,1,,,,,pedreiro,,,M,24,preto,escravo,"Rua da Conceição, 15",,"VENDE-SE hum preto pedreiro, de nação, terá 24 annos de idade, com a condição de ser para fóra da terra: o motivo desta condição se dirá ao comprador: na rua da Conceição n. 15.",,,,,,,,,,,,,,,,
1139,121,Jornal do Commercio,155,4,http://memoria.bn.br/DocReader/364568_03/606,10-Jun-1840,venda,oferecendo serviço,3,,,,,refinadores de açúcar,,,M/ F,,,escravos,"Rua de São Pedro, 7",,"TRANSPASSA-SE a chave da casa de refinação de assucar, com todos os seus pertences e tres bons escravos peritos neste trabalho, ou mesmo sem elles, sita no largo da Lapa do Desterro n. 16. Adverte-se que esta casa he bem afreguezada, e do ajuste trata-se na rua de S. Pedro n. 7.",,,,,,,,,,,,,,,,
1140,122,Jornal do Commercio,155,4,http://memoria.bn.br/DocReader/364568_03/606,10-Jun-1840,aluguel,procurando serviço,1,,,,,remador,,,M,,preto,escravo,"Rua do Rosário, 10",,"PRECISA-SE alugar, na rua do Rozario, n. 10, hum preto remador, ainda que não seja perfeito nesta occupação.",,,,,,,,,,,,,,,,
1141,123,Jornal do Commercio,155,4,http://memoria.bn.br/DocReader/364568_03/606,10-Jun-1840,venda,oferecendo serviço,1,,,,,"serrador, falqueijador, cabouqueiro e pescador",,,M,,preto,escravo,"Rua dos Latoeiros, 32",,"VENDE-SE hum preto serrador, falquejador, cabouqueiro e pescador; na rua dos Latoeiros, n. 32.",,,,,,,,,,,,,,,,
1142,124,Jornal do Commercio,155,4,http://memoria.bn.br/DocReader/364568_03/606,10-Jun-1840,aluguel,oferecendo serviço,1,,,,,serviço doméstico,,,F,,preta,escrava,"Campo, ao lado do museu, 8",,"ALUGA-SE huma preta que cozinha, lava, e faz todo o serviço de casa; no Campo, lado do museo, n. 8.",,,,,,,,,,,,,,,,
1143,125,Jornal do Commercio,155,4,http://memoria.bn.br/DocReader/364568_03/606,10-Jun-1840,venda,oferecendo serviço,1,,,,,,,,M,18,,escravo,"Rua do Rosário, 138",,"VENDE-SE, na rua do Rosário n. 138, armazém, hum moleque de idade 18 annos, reforçado, para todo o serviço, por commodo preço.",,,,,,,,,,,,,,,,
1144,126,Jornal do Commercio,155,4,http://memoria.bn.br/DocReader/364568_03/606,10-Jun-1840,aluguel,oferecendo serviço,1,,,,,,,nação,F,,preta,escrava,"Rua dos Latoeiros, 35",,"ALUGA-SE, com a condição de ser para casa de pequena familia ou de algum homem solteiro, huma preta de nação, ainda moça, e de optimas qualidades; dirigir-se á rua dos Latoeiros n. 35.",,,,,,,,,,,,,,,,
1145,127,Jornal do Commercio,155,4,http://memoria.bn.br/DocReader/364568_03/606,10-Jun-1840,fuga,,1,,,,,,Antonio,Quilimane,M,30,preto,escravo,"Rua do Hospício, 163",,"FUGIO, sabbado 6 do corrente, hum preto de nome Antonio, nação Quilimane, idade 30 annos, signaes os seguintes: tem metade do dedo polegar da mão esquerda e huma ferida de unheiro no dedo do meio do pé esquerdo: levou camisa de algodão americano e camisola de baeta azul de mangas curtas, e calça de riscado azul entrançado; dirijão-se á rua do Hospício n. 163.",,,,,,,,,,,,,,,,
1146,128,Jornal do Commercio,155,4,http://memoria.bn.br/DocReader/364568_03/606,10-Jun-1840,venda,procurando serviço,>1,,,,,,,,M/ F,,,escravos,"Rua dos Ourives, 17",,"PRECISA-SE comprar escravos com prendas e sem ellas, os quaes se pagão bem; na rua dos Ourives, n. 17.",,,,,,,,,,,,,,,,
1147,129,Jornal do Commercio,155,4,http://memoria.bn.br/DocReader/364568_03/606,10-Jun-1840,venda,oferecendo serviço,1,,,,,,,Mina,F,,preta,escrava,"Rua Direita, 32",,"VENDE-SE, na rua Direita n. 32, huma preta de nação Mina, moça, de muito boa figura, e com algumas prendas.",,,,,,,,,,,,,,,,
1148,130,Jornal do Commercio,155,4,http://memoria.bn.br/DocReader/364568_03/606,10-Jun-1840,venda,oferecendo serviço,1,360$000,,,,,,,F,13,negrinha,escrava,"Rua do Rosário, 107",,"VENDE-SE huma negrinha de 13 a 14 annos, que em razão de ser hum pouco torta das pernas se dá pela diminuta quantia de 360$000; na rua do Rosário n. 107.",,,,,,,,,,,,,,,,
1149,131,Jornal do Commercio,155,4,http://memoria.bn.br/DocReader/364568_03/606,10-Jun-1840,fuga,,1,,,,,,Vicente,Moçambique,M,,preto,escravo,"Rua do Sabão, 1",,"FUGIO, no dia 6 do corrente, hum preto de nome Vicente, nação Moçambique, levando calças e jaqueta azul, o qual tinha ido conduzir animaes a Bem-fica: quem o agarrar e levar á rua do Sabão n. 1 será gratificado.",,,,,,,,,,,,,,,,
1150,132,Jornal do Commercio,156,4,http://memoria.bn.br/docreader/364568_03/610,11-Jun-1840,fuga,,1,,,,,alfaiate,Marcos,,M,18,tisnada,escravo,"Ladeira do Castelo, em frente ao Beco do Cotovelo, 4",,"FUGIO, no dia 7 do corrente, hum escravo de nome Marcos, com os signaes seguintes: baixo e reforçado de corpo, rosto bastante largo, de côr tisnada e com 18 annos de idade, tendo na cabeça huma brexa ainda fresca de huma bordoada, sem barba alguma e he official de alfaiate; suppõe-se acoutado por alguem, contra quem se protesta a todo o tempo que appareça: recommendando se a todos os capitães do mato, ou a qualquer pessoa que delle souber, leva-lo á ladeira do Castello, em frente ao beco do Cotovello, n. 4, que será bem gratificado.",,,,,,,,,,,,,,,,
1151,133,Jornal do Commercio,156,4,http://memoria.bn.br/docreader/364568_03/610,11-Jun-1840,venda,oferecendo serviço,1,,,,,barbeiro,,,M,,,escravo,"Rua dos Pescadores, 91",,"VENDE-SE hum moleque de elegante figura e sadio, bom barbeiro, toca soffrivelmente rabeca: na rua dos Pescadores n. 91.",,,,,,,,,,,,,,,,
1152,134,Jornal do Commercio,156,4,http://memoria.bn.br/docreader/364568_03/610,11-Jun-1840,venda,oferecendo serviço,1,,,,,"barbeiro, sangrador e dentista",,,M,,preto,escravo,"Rua da Alfândega, 293",,"VENDE-SE hum preto official de barbeiro, sangrador e dentista, dá-se acontento: e 1 moleque de 13 a 14 annos, proprio para pagem ou officio: na rua da Alfândega n. 293.",,,,,,,,,,,,,,,,
1153,135,Jornal do Commercio,156,4,http://memoria.bn.br/docreader/364568_03/610,11-Jun-1840,venda,oferecendo serviço,>1,,,,,"carreiros, lambiqueiros",,,M/ F,,,escravos,"Rua de São Pedro, 91",,"VENDE-SE huma porção de escravos da roça vindos de Campos nos ultimos barcos, tendo carreiros e lambiqueiros: na rua  de S. Pedro n. 91.",,,,,,,,,,,,,,,,
1154,136,Jornal do Commercio,156,4,http://memoria.bn.br/docreader/364568_03/610,11-Jun-1840,aluguel,procurando serviço,1,,,,,cozinheira,,,F,,preta,escrava,"Rua da Prainha, 31",,PRECISA-SE alugar huma preta cozinheira: na rua da Prainha n. 31.,,,,,,,,,,,,,,,,
1155,137,Jornal do Commercio,156,4,http://memoria.bn.br/docreader/364568_03/610,11-Jun-1840,venda,oferecendo serviço,1,,,,,cozinheiro,,,M,,preto,escravo,"Rua do Sabão, 27",,"VENDE-SE, na rua do Sabão n. 27, hum preto bom cozinheiro, e outro de todo o serviço.",,,,,,,,,,,,,,,,
1156,138,Jornal do Commercio,156,4,http://memoria.bn.br/docreader/364568_03/610,11-Jun-1840,aluguel,procurando serviço,1,,,,,cozinheiro,,,M,,preto,escravo,"Rua do Ouvidor, 22",,"PRECISA-SE alugar, na travessa do Ouvidor n. 22, hum preto que seja perito cozinheiro.",,,,,,,,,,,,,,,,
1157,139,Jornal do Commercio,156,4,http://memoria.bn.br/docreader/364568_03/610,11-Jun-1840,venda,oferecendo serviço,1,,,,,cozinheiro,,,M,,,escravo,"Rua dos Ourives, 17",,"VENDE-SE hum molecão, soffrivel cozinheiro do ordinario, e sem vicios: na rua dos Ourives n. 17.",,,,,,,,,,,,,,,,
1158,140,Jornal do Commercio,156,4,http://memoria.bn.br/docreader/364568_03/610,11-Jun-1840,venda,oferecendo serviço,1,,,,,cozinheiro e carreiro,,,M,,preto,escravo,"Rua do Sabão, 11",,"VENDEM-SE dous pretos perfeitos cozinheiros, hum sapateiro e hum carreiro, todos moços e de bonitas figuras; na rua do Sabão n. 11.",,,,,,,,,,,,,,,,
1159,141,Jornal do Commercio,156,4,http://memoria.bn.br/docreader/364568_03/610,11-Jun-1840,venda,oferecendo serviço,1,,,,,cozinheiro e sapateiro,,,M,,preto,escravo,"Rua do Sabão, 11",,"VENDEM-SE dous pretos perfeitos cozinheiros, hum sapateiro e hum carreiro, todos moços e de bonitas figuras; na rua do Sabão n. 11.",,,,,,,,,,,,,,,,
1160,142,Jornal do Commercio,156,4,http://memoria.bn.br/docreader/364568_03/610,11-Jun-1840,venda,oferecendo serviço,1,,,,,"engomadeira, costureira, cozinheira e lavadeira",,,F,,,escrava,"Rua do Piolho, 40",,"VENDE-SE huma boa escrava moça, sabendo engommar perfeitamente até de preguinhas, coser, cozinhar e lavar; na rua do Piolho n. 40.",,,,,,,,,,,,,,,,
1161,143,Jornal do Commercio,156,4,http://memoria.bn.br/docreader/364568_03/610,11-Jun-1840,fuga,,1,20$000,,,,engomadeiro,Climenio ou Manoel,,M,16,fulo,alforriado,"Rua do Cano, 35",,"20$000 RS. DE GRATIFICAÇÃO a quem der noticia, ou levar á rua do Cano n. 35, hum Africano liberto por nome Climenio (tambem responde ao nome de Manoel), ladino, de 16 a 18 annos de idade, fule, beiços grossos, gago quando  falla, sabendo engommar, o qual desappareceu no dia 5 do corrente mez.",,,,,,,,,,,,,,,,
1162,144,Jornal do Commercio,156,4,http://memoria.bn.br/docreader/364568_03/610,11-Jun-1840,venda,oferecendo serviço,1,,,,,lavadeira e cozinheira,,,F,,preta,escrava,"Rua de São Pedro, 315",,"VENDE-SE huma preta perfeita lavadeira e cozinheira, refina assucar e faz doces de todas as qualidades; na rua de S. Pedro n. 315.",,,,,,,,,,,,,,,,
1163,145,Jornal do Commercio,156,4,http://memoria.bn.br/docreader/364568_03/610,11-Jun-1840,venda,oferecendo serviço,1,,,,,marinheiro,Francisco,,M,25,pardo,escravo,"Ladeira do Livramento, 11",,"VENDE-SE hum pardo de idade 25 annos, pouco mais ou menos, de nome Francisco, bom marinheiro  de governo, o qual está recolhido á Casa de Correcção; quem o pretender póde ir ve-lo á dita Casa de Correcção, e para ajustar á ladeira do Livramento, casa pegada á de n. 11.",,,,,,,,,,,,,,,,
1164,146,Jornal do Commercio,156,4,http://memoria.bn.br/docreader/364568_03/610,11-Jun-1840,venda,oferecendo serviço,1,,,,,mocamba,,,F,13,,escrava,"Rua da Quitanda, 58",,"VENDE-SE, ou troca-se por huma preta que saiba lavar, engommar e cozinhar alguma cousa, huma boa mocamba recolhida, de 13 para 14 annos, bonita peça, sabendo coser, pregar huma Sra., e muito fagueira para crianças; annuncie por este jornal, ou deixe sua residencia declarada na casa n. 58 da rua da Quitanda.",,,,,,,,,,,,,,,,
1165,147,Jornal do Commercio,156,4,http://memoria.bn.br/docreader/364568_03/610,11-Jun-1840,venda,oferecendo serviço,1,,,,,pagem,,,M,13,,escravo,"Rua da Alfândega, 293",,"VENDE-SE hum preto official de barbeiro, sangrador e dentista, dá-se acontento: e 1 moleque de 13 a 14 annos, proprio para pagem ou officio: na rua da Alfândega n. 293.",,,,,,,,,,,,,,,,
1166,148,Jornal do Commercio,156,4,http://memoria.bn.br/docreader/364568_03/610,11-Jun-1840,aluguel,oferecendo serviço,1,,,,,serviço doméstico,,,M,,preto,escravo,"Rua da Quitanda, 112",,"NA RUA da Quitanda n. 112, ha para alugar hum preto para todo o serviço de huma casa.",,,,,,,,,,,,,,,,
1167,149,Jornal do Commercio,156,4,http://memoria.bn.br/docreader/364568_03/610,11-Jun-1840,aluguel,procurando serviço,>1,,,,,trato de animais,,,M/ F,,,escravo,"Rua do Espírito Santo, 40",,"QUEM tiver escravos capazes de tratar de animaes e os quizer alugar para o serviço da Companhia Fluminense dos Omnibus, dirija-se á rua do Espirito Santo n. 40, para fazer seus ajustes.",,,,,,,,,,,,,,,,
1168,150,Jornal do Commercio,156,4,http://memoria.bn.br/docreader/364568_03/610,11-Jun-1840,?,,1,,,,,,Zebedeo,,M,,retinta,africano livre,"Rua do Lavradio, 50",,"NO DIA 4 á noite desappareceu, da rua do Lavradio n. 50, o Africano livre de nome Zebedeo, o qual tem dous dentes quebrados do lado de cima na frente, côr retinta, e tem huma ferida em huma canella que ainda não está de todo sãa: levou camisa branca e calça de brim branco: quem delle der noticias ou levar á dita casa ganhará boas alvaras.  ",,,,,,,,,,,,,,,,
1169,151,Jornal do Commercio,156,4,http://memoria.bn.br/docreader/364568_03/610,11-Jun-1840,venda,oferecendo serviço,1,,,,,,,,M,,preto,escravo,"Rua do Sabão, 27",,"VENDE-SE, na rua do Sabão n. 27, hum preto bom cozinheiro, e outro de todo o serviço.",,,,,,,,,,,,,,,,
1170,152,Jornal do Commercio,156,4,http://memoria.bn.br/docreader/364568_03/610,11-Jun-1840,fuga,,1,,,,,,Antonia,,F,8,negrinha,escrava,"Rua do Fogo, travessa da Pedreira, 9",,"DESAPPARECEU, no dia 6 do corrente, huma negrinha de 8 annos, de nome Antonia: quem da mesma souber queira leva-la á rua do Fogo, travessa da Pedreira, n. 9, que receberá alviçaras.",,,,,,,,,,,,,,,,
1171,153,Jornal do Commercio,156,4,http://memoria.bn.br/docreader/364568_03/610,11-Jun-1840,venda,oferecendo serviço,1,,,,,,,,M,13,,escravo,"Rua do Senhor dos Passos, 182",,"VENDE-SE hum moleque e huma negrinha de 13 a 14 annos, proprios para o que se quizer applicar; na rua do Senhor dos Passos n. 182.",,,,,,,,,,,,,,,,
1172,154,Jornal do Commercio,156,4,http://memoria.bn.br/docreader/364568_03/610,11-Jun-1840,venda,oferecendo serviço,1,,,,,,,,F,13,negrinha,escrava,"Rua do Senhor dos Passos, 182",,"VENDE-SE hum moleque e huma negrinha de 13 a 14 annos, proprios para o que se quizer applicar; na rua do Senhor dos Passos n. 182.",,,,,,,,,,,,,,,,
1173,155,Jornal do Commercio,156,4,http://memoria.bn.br/docreader/364568_03/610,11-Jun-1840,venda,procurando serviço,1,,,,,,,,M,12,,escravo,"Rua do Ouvidor, 126",,"OS SENHORES Garonni, major, e Francisco Antonio Malheiros, tem cartas na rua do Ouvidor n. 126, 2º andar: na mesma casa compra-se hum moleque de 12 para 13 annos, e se aluga huma casa a hum homem solteiro.",,,,,,,,,,,,,,,,
1174,156,Jornal do Commercio,157,4,http://memoria.bn.br/docreader/364568_03/614,12-Jun-1840,venda,oferecendo serviço,1,,,,,alfaiate,,,M,,,escravo,"Rua de São José, 77",,"VENDE-SE hum moleque bonito, com principios de alfaiate; e outro para serviço de roça; na rua de S. José n. 77, 1° andar.",,,,,,,,,,,,,,,,
1175,157,Jornal do Commercio,157,4,http://memoria.bn.br/docreader/364568_03/614,12-Jun-1840,venda,oferecendo serviço,1,,,,,"cozinheira, lavadeira e engomadeira",,,F,20,preta,escrava,"Rua da Cadêa, 68",,"VENDE-SE, de huma familia que se retira, huma bonita preta de 20 annos de idade, perfeitissima cozinheira, lava e engomma; na rua da Cadêa, n. 68.",,,,,,,,,,,,,,,,
1176,158,Jornal do Commercio,157,4,http://memoria.bn.br/docreader/364568_03/614,12-Jun-1840,venda,oferecendo serviço,1,,,,,"cozinheira, lavadeira e engomadeira",,nação,F,26,preta,escrava,"Rua da Cadeia, 106",,"VENDE-SE huma robusta preta de nação, idade 26 annos, a qual cozinha, engomma, e lava de sabão e barrela; e hum preto de roça: na rua da Cadêa n. 106",,,,,,,,,,,,,,,,
1177,159,Jornal do Commercio,157,4,http://memoria.bn.br/docreader/364568_03/614,12-Jun-1840,aluguel,oferecendo serviço,1,,,,,"cozinheira, lavadeira e engomadeira",,crioula,F,,,escrava,"Rua da Ajuda, 28",,"ALUGA-SE huma crioula recolhida, que sabe coser, lavar e engommar; na rua da Ajuda n. 28.",,,,,,,,,,,,,,,,
1178,160,Jornal do Commercio,157,4,http://memoria.bn.br/docreader/364568_03/614,12-Jun-1840,aluguel,oferecendo serviço,1,,,,,cozinheiro,,,M,,preto,escravo,"Rua do Conde, 18",,"ALUGA-SE, na rua do Conde n. 18, hum preto perito cozinheiro.",,,,,,,,,,,,,,,,
1179,161,Jornal do Commercio,157,4,http://memoria.bn.br/docreader/364568_03/614,12-Jun-1840,venda,oferecendo serviço,1,,,,,de roça,,,M,,preto,escravo,"Rua da Cadeia, 106",,"VENDE-SE huma robusta preta de nação, idade 26 annos, a qual cozinha, engomma, e lava de sabão e barrela; e hum preto de roça: na rua da Cadêa n. 106",,,,,,,,,,,,,,,,
1180,162,Jornal do Commercio,157,4,http://memoria.bn.br/docreader/364568_03/614,12-Jun-1840,venda,oferecendo serviço,1,,,,,de roça,,,M,,,escravo,"Rua de São José, 77",,"VENDE-SE hum moleque bonito, com principios de alfaiate; e outro para serviço de roça; na rua de S. José n. 77, 1° andar.",,,,,,,,,,,,,,,,
1181,163,Jornal do Commercio,157,4,http://memoria.bn.br/docreader/364568_03/614,12-Jun-1840,fuga,,1,20$000,,,,engomadeiro,Climenio ou Manoel,,M,16,fulo,alforriado,"Rua do Cano, 35",,"20$000 RS. DE GRATIFICAÇÃO a quem der noticia, ou levar á rua do Cano n. 35, hum Africano liberto por nome Climenio (tambem responde ao nome de Manoel), ladino, de 16 a 18 annos de idade, fule, beiços grossos, gago quando  falla, sabendo engommar, o qual desappareceu no dia 5 do corrente mez.",,,,,,,,,,,,,,,,
1182,164,Jornal do Commercio,157,4,http://memoria.bn.br/docreader/364568_03/614,12-Jun-1840,venda,oferecendo serviço,1,,,,,lavadeira ,,,F,,preta,escrava,"Rua de São José, 77",,"VENDE-SE huma bonita e reforçada preta lavadeira, cuja conducta se affiança; na rua de S. José, n. 77, 1° andar.",,,,,,,,,,,,,,,,
1183,165,Jornal do Commercio,157,4,http://memoria.bn.br/docreader/364568_03/614,12-Jun-1840,aluguel,oferecendo serviço,1,,,,,"lavadeira, engomadeira e cozinheira",,crioula,F,,,escrava,"Rua de São Francisco da Prainha, 22",,"ALUGA-SE, para portas a dentro, na rua de S. Francisco da Prainha, n. 22, defronte de huma padaria, huma crioula que sabe lavar, engommar e cozinhar, e fazer o mais serviço de huma casa.",,,,,,,,,,,,,,,,
1184,166,Jornal do Commercio,157,4,http://memoria.bn.br/docreader/364568_03/614,12-Jun-1840,aluguel,procurando serviço,>1,,,,,lustrador de madeira,,,M/ F,,,escravos,"Rua do Cano, 215",,"PRECISA-SE alugar escravos que saibão lustrar trastes de madeira a lustro francez, sendo certo o seu pagamento por mez ou por semana; na rua do Cano, n. 215.",,,,,,,,,,,,,,,,
1185,167,Jornal do Commercio,157,4,http://memoria.bn.br/docreader/364568_03/614,12-Jun-1840,venda,oferecendo serviço,1,,,,,mocamba,,,F,14,negrinha,escrava,"Rua da Candelária, 46",,"COMPRA-SE huma negrinha de 14 a 16 annos para mocamba, que saiba coser bem, apromptar huma bandeja de chá, vestir e pregar huma senhora; na rua da Candelâria n. 46, 2° andar.",,,,,,,,,,,,,,,,
1186,168,Jornal do Commercio,157,4,http://memoria.bn.br/docreader/364568_03/614,12-Jun-1840,venda,oferecendo serviço,4,,,,,mocamba e ama de leite,,crioula,M/ F,23 anos/ 6 anos/ 3 anos/ 2 meses,preta/ pardos,escrava,"Rua de São Francisco de Paula, lado da Igreja, 21",,"QUEM quizer comprar huma escrava crioula, de idade 23 annos, com tres filhos pardos, o mais velho com seis anos, a segunda tem tres, e o outro tem dous mezes; a preta he mocamba e muito boa ama de leite, sabendo engommar, cozinhar, coser e lavar, não tem vicios de qualidade alguma nem molestias; ella não se vende sem os tres filhos, e o motivo da venda á vista se dirá; dirija se á rua de S. Francisco de Paula, lado da Igreja, n. 21, sobrado.",,,,,,,,,,,,,,,,
1187,169,Jornal do Commercio,157,4,http://memoria.bn.br/docreader/364568_03/614,12-Jun-1840,venda,oferecendo serviço,1,,,,,pedreiro,,,M,18,,escravo,Rua de São Cristóvão,,"VENDE-SE hum molecote de 18 annos de idade, com principios de pedreiro; na rua de S. Christovão, casa immediata á ponte do Sena.",,,,,,,,,,,,,,,,
1188,170,Jornal do Commercio,157,4,http://memoria.bn.br/docreader/364568_03/614,12-Jun-1840,venda,oferecendo serviço,2,,,,,"pedreiro, pedreiro",,,M,,preto/ preto,escravos,"Rua da Vala, 91",,"VENDE-SE dous pretos officiaes de pedreiro, de boa figura; na rua da Valla, n. 91",,,,,,,,,,,,,,,,
1189,171,Jornal do Commercio,157,4,http://memoria.bn.br/docreader/364568_03/614,12-Jun-1840,venda,oferecendo serviço,1,,,,,pescador,,,M,26,,escravo,"Rua dos Latoeiros, 32",,"VENDE-SE hum bonito molecão de 17 a 18 annos de idade, e hum outro de 26 annos, bom pescador; são sadios e de boa conducta, e dão-se por commodo preço: na rua dos Latoeiros n. 32.",,,,,,,,,,,,,,,,
1190,172,Jornal do Commercio,157,4,http://memoria.bn.br/docreader/364568_03/614,12-Jun-1840,aluguel,oferecendo serviço,1,10$000,monthy,,,serviço de portas a dentro,,,F,,preta,escrava,"Rua da Glória, 41",,"ALUGA-SE, na rua da Gloria n. 41, huma preta para todo o serviço de portas a dentro, mênos cozinhar, pelo preço de dez mil réis mensaes, pagos adiantados.",,,,,,,,,,,,,,,,
1191,173,Jornal do Commercio,157,4,http://memoria.bn.br/docreader/364568_03/614,12-Jun-1840,fuga,,1,,,,,,,,M/ F,20 meses,preta,escrava,"Rua do Ouvidor, 33",,"DESAPPARECEU da porta de seu senhor, na rua do Ouvidor, n 33, huma criança de côr preta, idade 20 mezes, com vestido branco, camisa com pregas, botins roxos com a borda encarnada, e cordão de ouro no pescoço; a pessoa que a levar á casa acima mencionada será recompensada.",,,,,,,,,,,,,,,,
1192,174,Jornal do Commercio,157,4,http://memoria.bn.br/docreader/364568_03/614,12-Jun-1840,fuga,,1,,,,,,Ludgero,crioulo,M,14,,escravo,"Rua de São Pedro, 107",,"FUGIO, no dia 9 do corrente, da rua de S. Pedro, n. 107, hum moleque crioulo, de nome Ludgero, de idade 14 a 15 annos, levou vestido calça de ganga amarella, jaqueta e camisa branca, com huma pequena belida no olho direito, dous signaes de queimadura no peito: desde já protesta-se contra toda aquella pessoa que o tiver acoutado: quem do mesmo souber e leva-lo á casa acima, receberá alviçaras.",,,,,,,,,,,,,,,,
1193,175,Jornal do Commercio,157,4,http://memoria.bn.br/docreader/364568_03/614,12-Jun-1840,venda,oferecendo serviço,1,,,,,,,,M,17,,escravo,"Rua dos Latoeiros, 32",,"VENDE-SE hum bonito molecão de 17 a 18 annos de idade, e hum outro de 26 annos, bom pescador; são sadios e de boa conducta, e dão-se por commodo preço: na rua dos Latoeiros n. 32.",,,,,,,,,,,,,,,,
1194,176,Jornal do Commercio,157,4,http://memoria.bn.br/docreader/364568_03/614,12-Jun-1840,venda,oferecendo serviço,1,,,,,,,crioulo,M,,preto,escravo,"Rua do Sabão, 150",,"VENDE-SE hum preto crioulo, cego: na rua do Sabão n. 150.",,,,,,,,,,,,,,,,
1195,177,Jornal do Commercio,157,4,http://memoria.bn.br/docreader/364568_03/614,12-Jun-1840,venda,,2,650$000,,,,,,,M/ F,,,escravos,"Rua Nova de São Bento, 32",,"O Sr. que offereceu 650$ réis pelo casal de escravos na rua nova de S. Bento n. 32, loja, póde ir busca-los, ou outra qualquer pessoa que os queira.",,,,,,,,,,,,,,,,
1196,178,Jornal do Commercio,158,4,http://memoria.bn.br/docreader/364568_03/618,13-Jun-1840,fuga,,1,20$000,,,,engomadeiro,Climenio ou Manoel,,M,16,fulo,alforriado,"Rua do Cano, 35",,"20$000 RS. DE GRATIFICAÇÃO a quem der noticia, ou levar á rua do Cano n. 35, hum Africano liberto por nome Climenio (tambem responde ao nome de Manoel), ladino, de 16 a 18 annos de idade, fule, beiços grossos, gago quando  falla, sabendo engommar, o qual desappareceu no dia 5 do corrente mez.",,,,,,,,,,,,,,,,
1197,179,Jornal do Commercio,159,4,http://memoria.bn.br/docreader/364568_03/622,14-Jun-1840,aluguel,procurando serviço,1,,,,,cozinheira e engomadeira,,,F,,preta,escrava,"Rua dos Ourives, 139",,"PRECISA-SE alugar, para casa capaz, huma preta que saiba cozinhar e engommar com perfeição; dirigir-se á rua dos Ourives n. 139.",,,,,,,,,,,,,,,,
