Sort,Source,Edition,Page,URL,Pub Date,Ad Type,Seek/Offer,Number Sought/Offered,Ad Price Amt,Ad Price Period,Ad Placer Name,Ad Placer Sex,Advertised Occupations,Slave Name,Slave Origin,Slave Sex,Slave Age,Slave color,slave status,Location,Location City,Ad Transcription,Observations,,,,,,,,,,,,
163,Jornal do Commercio,8,3,http://memoria.bn.br/docreader/364568_03/31,10-Jan-1840,venda,oferecendo serviço,>1,,,,,,,,,,,escravos,"Rua do Ouvidor, 90",,"JOSÉ BOUIS faz leilão hoje, na sua casa, na rua do Ouvidor n. 90, de huma porção de escravos de ambos os sexos, com officios e de roças, e mocambas, os quaes serão vendidos sem reserva. A's 10 1/2 horas.",,,,,,,,,,,,,
164,Jornal do Commercio,8,4,http://memoria.bn.br/docreader/364568_03/32,10-Jan-1840,venda,oferecendo serviço,1,,,,,,,,F,12,negra,escrava,"Rua da Cadeia, 54",,"VENDE-SE huma negrinha de 12 annos, mui linda, que se dá em conta; na rua da Cadêa, sobrado n. 54.",,,,,,,,,,,,,
165,Jornal do Commercio,8,4,http://memoria.bn.br/docreader/364568_03/32,10-Jan-1840,venda,oferecendo serviço,1,,,,,,,,M,,preto,escravo,"Rua do Cano, 35",,"VENDE-SE, na rua do Cano n. 35, hum preto moço, muito reforçado e intelligente, sabendo fazer todo o serviço de huma casa; assim como duas pretas de 18 annos, dous moleques e duas negrinhas ladinas. Para ver e ajustar, de manhãa até às 10 horas, e de tarde de 2 às 5.",,,,,,,,,,,,,
166,Jornal do Commercio,8,4,http://memoria.bn.br/docreader/364568_03/32,10-Jan-1840,venda,oferecendo serviço,2,,,,,,,,F,18,pretas,escravas,"Rua do Cano, 35",,"VENDE-SE, na rua do Cano n. 35, hum preto moço, muito reforçado e intelligente, sabendo fazer todo o serviço de huma casa; assim como duas pretas de 18 annos, dous moleques e duas negrinhas ladinas. Para ver e ajustar, de manhãa até às 10 horas, e de tarde de 2 às 5.",,,,,,,,,,,,,
167,Jornal do Commercio,8,4,http://memoria.bn.br/docreader/364568_03/32,10-Jan-1840,venda,oferecendo serviço,2,,,,,,,,M,,,escravos,"Rua do Cano, 35",,"VENDE-SE, na rua do Cano n. 35, hum preto moço, muito reforçado e intelligente, sabendo fazer todo o serviço de huma casa; assim como duas pretas de 18 annos, dous moleques e duas negrinhas ladinas. Para ver e ajustar, de manhãa até às 10 horas, e de tarde de 2 às 5.",,,,,,,,,,,,,
168,Jornal do Commercio,8,4,http://memoria.bn.br/docreader/364568_03/32,10-Jan-1840,venda,oferecendo serviço,2,,,,,,,Nação,F,,negras,escravas,"Rua do Cano, 35",,"VENDE-SE, na rua do Cano n. 35, hum preto moço, muito reforçado e intelligente, sabendo fazer todo o serviço de huma casa; assim como duas pretas de 18 annos, dous moleques e duas negrinhas ladinas. Para ver e ajustar, de manhãa até às 10 horas, e de tarde de 2 às 5.",,,,,,,,,,,,,
169,Jornal do Commercio,9,4,http://memoria.bn.br/docreader/364568_03/36,11-Jan-1840,aluguel,oferecendo serviço,1,,,,,"ama de leite, lavadeira, engomadeira, costureira",,Nação,F,,,escrava,"Rua do Piolho, 100",,"ALUGA-SE huma ama de leite, escrava de nação, rapariga e sadia, a qual tem muito bom leite, lava, engomma e cose; para a ver e ajustar, na rua do Piolho n. 100.",,,,,,,,,,,,,
170,Jornal do Commercio,9,4,http://memoria.bn.br/docreader/364568_03/36,11-Jan-1840,aluguel,oferecendo serviço,2,,,,,indefinido/ama de leite,,,F,,parda/preta,escravas,"Rua Direita, 17",,"ALUGASE huma parda, e huma preta que tem muito bom leite; na rua Direita n. 17, 1º andar.",,,,,,,,,,,,,
171,Jornal do Commercio,9,3,http://memoria.bn.br/docreader/364568_03/35,11-Jan-1840,aluguel,oferecendo serviço,1,,,,,"serviços domésticos, costureira",,,F,,,escrava,"Rua da Alfândega, 7",,"ALUGA-SE, na rua da Alfândega n. 7, huma escrava moça, para o servico de portas a dentro: sabe coser e fazer todo o arranjo de dentro de huma casa, e he muito carinhosa com crianças.",,,,,,,,,,,,,
172,Jornal do Commercio,9,3,http://memoria.bn.br/docreader/364568_03/35,11-Jan-1840,aluguel,procurando serviço,>1,,,,,todos os serviços,,,F/M,,,escravos,"Rua da Cadeia, 54",,"PRECISA-SE alugar escravas e escravos de todos os serviços: pagão-se os alugueis adiantados; isto na rua da Cadêa n. 54, sobrado.",,,,,,,,,,,,,
173,Jornal do Commercio,9,4,http://memoria.bn.br/docreader/364568_03/36,11-Jan-1840,aluguel,procurando serviço,1,,,,,,,,M,,preto,escravo,"Rua da Quitanda, 12",,"PRECISA-SE alugar hum preto para todo o serviço, na rua da Quitanda n. 12.",,,,,,,,,,,,,
174,Jornal do Commercio,9,4,http://memoria.bn.br/docreader/364568_03/36,11-Jan-1840,compra,procurando serviço,1,,,,,jardineiro,,,M,,preto,escravo,"Principio do Campo de S. Cristovão, casa de cocheira",,"PRECISA-SE comprar hum preto que entenda perfeitamente de plantações de chacara, e saiba fazer jardins, canteiros, etc.; não embaraça que tenha até 40 annos de idade, não tendo vicios: annunciem por esta folha para ser procurado, ou dirijão-se ao principio do campo de S. Christovão, casa de cocheira.",,,,,,,,,,,,,
175,Jornal do Commercio,9,3,http://memoria.bn.br/docreader/364568_03/35,11-Jan-1840,compra/aluguel,procurando serviço,1,,,,,"cozinheria, serviços domésticos",,,F,,pretas,escrava,"Rua do Ouvidor, 118",,"PRECISA-SE de huma preta boa cozinheira, e que entenda do serviço de huma casa; na rua do Ouvidor n. 118",,,,,,,,,,,,,
176,Jornal do Commercio,9,3,http://memoria.bn.br/docreader/364568_03/35,11-Jan-1840,fuga,,1,,,,,carregador de café,Miguel,Moçambique,M,,preto,escravo,Rua Larga de São Joaquim,,"FUGIO, no dia 26 de dezembro, hum preto por nome Miguel, nação Moçambique, estatura regular, côr fula, beiços grossos, sendo o inferior muito cahido, e he carregador de café; quem o mesmo apanhar e levar à rua larga de S. Joaquim, receberá alviçaras.",,,,,,,,,,,,,
177,Jornal do Commercio,9,3,http://memoria.bn.br/docreader/364568_03/35,11-Jan-1840,fuga,,1,,,,,,André,,M,,preto,escravo,"Rua do Ouvidor, 63",,"Desappareceu, no dia 7 do corrente, hum preto de nome André, com cara redonda, bexigoso, nariz achatado e sempre cheio de tabaco, e a roupa bastante suja; sabe ler, escrever e contar. Quem o levar à rua do Ouvidor n. 63, receberá alviçaras.",,,,,,,,,,,,,
178,Jornal do Commercio,9,3,http://memoria.bn.br/docreader/364568_03/35,11-Jan-1840,fuga,,1,,,,,,José,Moçambique,M,20,preto,escravo ,"Rua dos Ourives, 229",,"Fugio, em 23 de outubro de 1839, de hum sitio da serra do Nogueira, em Jacarepaguá, hum preto de nação Moçambique, idade de 20 annos pouco mais ou menos, alto, corpo reforçado, dentes de cima limados, orelhas furadas, olhos pequenos, sem barba, com hum signal levantado no meio dos peitos, e quatro no peito direito, tem a falla fina, chama-se José, e quando foge costuma mudar o nome, e outras vezes finge-se buçal: quem o aprehender e levar à rua dos Ourives n. 229, receberá 80$ rs.",,,,,,,,,,,,,
179,Jornal do Commercio,9,3,http://memoria.bn.br/docreader/364568_03/35,11-Jan-1840,fuga,,1,,,Leandro Antonio Ferreira,M,,Domingos,Nação,M,30,preto,escravo,"Fazenda de Ipitanga; distrito de Cabo Frio ou Rua de São Pedro, 2 B",Cabo Frio,"Fugio, no dia 7 de janeiro de 1840, da fazenda de Ipitanga, districto de Cabo Frio, proprietario Leandro Antonio Ferreira, hum preto por nome Domingos, de nação, estatura regular, idade 30 annos pouco mais ou menos, barbado, muito ladino, com falta de alguns dentes, rendido de verilhas, com falta de hum dedo em hum pé (o visinho ao dedo grande): quem delle souber, ou o levar à mesma fazenda, ou à casa da rua S. Pedro n. 2 B, será bem gratificado.",,,,,,,,,,,,,
180,Jornal do Commercio,9,4,http://memoria.bn.br/docreader/364568_03/36,11-Jan-1840,fuga,,1,,,,,,,Mucena,M,,retinto,escravo,"Praça do Mercado, 2 (fabrica de charutos)",,"DESAPPARECEU, no dia 10 do corrente, às 9 horas da manhãa, hum moleque de nação Mucena, alto, magro, côr retinta, rosto comprido, e com a marca da nação; levou vestido camisa azul mesclina com mangas curtas, e calças de ganga azul; quem o apanhar dirija-se à praça do Mercado, fabrica de charutos, n. 2.",,,,,,,,,,,,,
181,Jornal do Commercio,9,3,http://memoria.bn.br/docreader/364568_03/35,11-Jan-1840,venda,oferecendo serviço,1,,,,,"alfaiate, boleeiro",,,M,13,pardo,escravo,"Rua do Nuncio, 9",,"VENDE-SE, na rua do Nuncio n. 9, hum pardinho de 13 annos, com principio de alfaiate, e proprio para bolieiro, por saber nadar a cavallo: quem o pretender procure na dita casa, de manhãa até as 8 e meia, e de tarde depois das 3 e meia horas.",,,,,,,,,,,,,
182,Jornal do Commercio,9,3,http://memoria.bn.br/docreader/364568_03/35,11-Jan-1840,venda,oferecendo serviço,3,,,,,"costureiras, cozinheiras, lavadeiras",,,F,,pretas,escravas,"Largo do Paço, 3",,"VENDEM-SE, no largo do Paço n. 3, tres pretas que sabem coser, cozinhar e lavar com toda a perfeição.",,,,,,,,,,,,,
183,Jornal do Commercio,9,4,http://memoria.bn.br/docreader/364568_03/36,11-Jan-1840,venda,oferecendo serviço,1,,,,,"lavadeira, engomadeira",,Benguela,F,,preta,escrava,"Rua do Valongo, 24",,"VENDE-SE, na rua do Vallongo n. 24, huma preta de nação Benguela, muito vistosa, e com bons costumes, lava e engomma bem; quem a precisar dirija-se ao numero acima.",,,,,,,,,,,,,
184,Jornal do Commercio,9,4,http://memoria.bn.br/docreader/364568_03/36,11-Jan-1840,venda,oferecendo serviço,1,,,,,"mocamba, costureira, lavadeira, engomadeira",,,F,16,,escrava,"Rua da Cadeia, 16",,"VENDE-SE, de huma casa de família, huma mocamba de 16 annos, de bonita figura, que cose com perfeição, corta e faz huma camisa, lava e engomma; adverte-se que não tem vicios: na rua da Cadêa, sobrado n. 16.",,,,,,,,,,,,,
185,Jornal do Commercio,9,3,http://memoria.bn.br/docreader/364568_03/35,11-Jan-1840,venda,oferecendo serviço,1,,,,,pedreiro,,,M,,,escravo,"Rua do Sabão, 262",,"NA RUA do Sabão, n. 262, ha hum pedreiro, perfeito no seu officio, para vender.",,,,,,,,,,,,,
186,Jornal do Commercio,9,4,http://memoria.bn.br/docreader/364568_03/36,11-Jan-1840,venda,oferecendo serviço,1,300$000,,,,roceiro,,,F,,pretas,escrava,"Rua da Vala, 89",,"VENDE-SE, na rua da Valla n. 89, huma preta moça, boa para a roça, por 300$000 réis, e hum preto moço, com hum pequeno defeito, por 180$ rs.",,,,,,,,,,,,,
187,Jornal do Commercio,9,4,http://memoria.bn.br/docreader/364568_03/36,11-Jan-1840,venda,oferecendo serviço,1,180$000,,,,,,,M,,preto,escravo,"Rua da Vala, 89",,"VENDE-SE, na rua da Valla n. 89, huma preta moça, boa para a roça, por 300$000 réis, e hum preto moço, com hum pequeno defeito, por 180$ rs.",,,,,,,,,,,,,
188,Jornal do Commercio,11,4,http://memoria.bn.br/docreader/364568_03/44,13-Jan-1840,aluguel,oferecendo serviço,1,,,,,ama de leite,,,F,,parda,forra,"Rua Nova de São Bento, 33",,"ALUGA-SE huma parda forra, boa ama de leite; na rua nova de S. Bento n. 33.",,,,,,,,,,,,,
189,Jornal do Commercio,11,4,http://memoria.bn.br/docreader/364568_03/44,13-Jan-1840,aluguel,procurando serviço,>1,,,,,"malhadores, limadores",,,M,,,cativos,"Cocheira do Major, no Largo de S. Francisco de Paula",,"PRECISA-SE de alguns bons malhadores e limadores, cativos; na cocheira do Major, no largo de S. Francisco de Paula.",,,,,,,,,,,,,
190,Jornal do Commercio,11,4,http://memoria.bn.br/docreader/364568_03/44,13-Jan-1840,aluguel,oferecendo serviço,1,,,,,"serviços domésticos, lavadeira, engoamdeira, costureira, cozinheira, doceira",,,F,,preta,escrava,"Rua da Vala, 158",,"ALUGA-SE huma preta para o serviço de portas a dentro, sabendo lavar, engommar, coser, bordar, cozinhar e fazer doces, e he muito carinhosa para crianças; na rua da Valla n. 158.",,,,,,,,,,,,,
191,Jornal do Commercio,11,4,http://memoria.bn.br/docreader/364568_03/44,13-Jan-1840,aluguel,procurando serviço,1,,,,,,,,M,,preto,escravo,"Rua de S. José, 17",,"PRECISA-SE de hum bom preto para trabalhar em huma chacara perto desta cidade, na rua de S. José n. 17.",,,,,,,,,,,,,
192,Jornal do Commercio,11,4,http://memoria.bn.br/docreader/364568_03/44,13-Jan-1840,compra,procurando serviço,>1,,,,,roceiro,,,M,,pretos,escravos,"Rua da Misericórdia, 69",,"PRECISA-SE comprar alguns pretos de roça, velhos e de meia idade; na rua da Misericórdia n. 69.",,,,,,,,,,,,,
193,Jornal do Commercio,11,4,http://memoria.bn.br/docreader/364568_03/44,13-Jan-1840,fuga,,1,,,,,"carpinteiro, amanssador de bestas",João Vicente Bragança,,M,40,pardo claro,escravo,"Fazenda do Castello, curato de Santana da vila de Resende ou na côrte ao ilustríssimo Sr. Antonio Tertuliano dos Santos",Resende,"A todas as autoridades, e a quaesquer pessoas encarregadas de apprehender escravos fugidos, o abaixo assignado, morador na sua fazenda do Castello, curato de Santa Anna da villa de Rezende, roga a capturados dous que lhe fugirão na noite de 19 de novembro de 1839, com os signaes seguintes: João Vicente Bragança (natural da villa deste nome), pardo bastante claro, 40 annos pouco mais ou menos, estatura ordinaria,  cheio de corpo, cabeça redonda, cabellos arripiados e ruivos (já pintados de branco) como os do peito, braços e pernas bastante gordas; rosto tambem redondo e cheio, bons dentes e bem na frente, olhos amarellados e grandes, beiços grossos; tão corado que parece estrangeiro, masca muito fumo, tem-se por valentãoentende alguma cousa do officio de carpinteiro, e tambem he amansador de bestas, falla baixo e moderadamente. José Antonio, que diz ser crioulo, mas he Africano, idade 18 a 20 annos, estatura baixa, delgado de corpo, bastante preto, rosto comprido, ponta de barba, pestanas cerradas e meio voltadas para cima, beiços grossos e hum tanto virados, bons dentes e na frente, falla fina e mansa, sempre olhando para o chão;usa pitar cachimbo, e tem signaes de açoutes. Estes dous escravos levarão na fugida dous cavallos capões, de 8 annos de idade, hum lasão, tamanho regular, magro, com mataduras no lombo e um pé calçado de branco; o outro, castanho-claro dourado, do mesmo tamanho, bastante barrigudo, marcha de passo, ambos com topete cortado, poucas crinas e cauda. levárão mais um lombilho velho e hum selim inglez, tambem velho, duas espingardas fulminantes, novas (sendo huma de dous canos), huma espada curta como alfange, com cabo de chifre, huma faca comprida, e diversas roupas de riscado picote, algodão americano, linho, e hum ponche usado de panno azul com forro de baêta da mesma côr. A quem apprehender com segurança esses dous escravos, o abaixo assignado, além de responder pelas despesas e riscos que houveram no caso de resistência, dará a gratificação de 50$ rs. por cada hum, entregando-os na sua fazenda acima dita, ou na côrte ao Illm. Sr. Antonio Tertuliano dos Santos. Rio de Janeiro, 20 de novembro de 1839. - Antonio de Campos Freire. ",,,,,,,,,,,,,
194,Jornal do Commercio,11,4,http://memoria.bn.br/docreader/364568_03/44,13-Jan-1840,fuga,,1,,,,,,José Antonio,Nação,M,18,preto,escravo,"Fazenda do Castello, curato de Santana da vila de Resende ou na côrte ao ilustríssimo Sr. Antonio Tertuliano dos Santos",Resende,"A todas as autoridades, e a quaesquer pessoas encarregadas de apprehender escravos fugidos, o abaixo assignado, morador na sua fazenda do Castello, curato de Santa Anna da villa de Rezende, roga a capturados dous que lhe fugirão na noite de 19 de novembro de 1839, com os signaes seguintes: João Vicente Bragança (natural da villa deste nome), pardo bastante claro, 40 annos pouco mais ou menos, estatura ordinaria,  cheio de corpo, cabeça redonda, cabellos arripiados e ruivos (já pintados de branco) como os do peito, braços e pernas bastante gordas; rosto tambem redondo e cheio, bons dentes e bem na frente, olhos amarellados e grandes, beiços grossos; tão corado que parece estrangeiro, masca muito fumo, tem-se por valentãoentende alguma cousa do officio de carpinteiro, e tambem he amansador de bestas, falla baixo e moderadamente. José Antonio, que diz ser crioulo, mas he Africano, idade 18 a 20 annos, estatura baixa, delgado de corpo, bastante preto, rosto comprido, ponta de barba, pestanas cerradas e meio voltadas para cima, beiços grossos e hum tanto virados, bons dentes e na frente, falla fina e mansa, sempre olhando para o chão;usa pitar cachimbo, e tem signaes de açoutes. Estes dous escravos levarão na fugida dous cavallos capões, de 8 annos de idade, hum lasão, tamanho regular, magro, com mataduras no lombo e um pé calçado de branco; o outro, castanho-claro dourado, do mesmo tamanho, bastante barrigudo, marcha de passo, ambos com topete cortado, poucas crinas e cauda. levárão mais um lombilho velho e hum selim inglez, tambem velho, duas espingardas fulminantes, novas (sendo huma de dous canos), huma espada curta como alfange, com cabo de chifre, huma faca comprida, e diversas roupas de riscado picote, algodão americano, linho, e hum ponche usado de panno azul com forro de baêta da mesma côr. A quem apprehender com segurança esses dous escravos, o abaixo assignado, além de responder pelas despesas e riscos que houveram no caso de resistência, dará a gratificação de 50$ rs. por cada hum, entregando-os na sua fazenda acima dita, ou na côrte ao Illm. Sr. Antonio Tertuliano dos Santos. Rio de Janeiro, 20 de novembro de 1839. - Antonio de Campos Freire. ",,,,,,,,,,,,,
195,Jornal do Commercio,11,4,http://memoria.bn.br/docreader/364568_03/44,13-Jan-1840,venda,oferecendo serviço,1,,,,,alfaiate,,,M,13,,escravo,"Rua da Alfândega, 295",,"VENDE-SE hum bonito moleque de 13 a 14 annos, com principios de alfaiate; na rua da Alfândega n. 295.",,,,,,,,,,,,,
196,Jornal do Commercio,11,4,http://memoria.bn.br/docreader/364568_03/44,13-Jan-1840,venda,oferecendo serviço,1,,,,,"costureira, engomadeira, lavadeira, serviços domésticos",,,F,13,negra,escrava,"Rua dos Ourives, 17",,"VENDE-SE huma linda negrinha de 13 annos, que cose soffrivelmente, engomma, lava, e faz o mais serviço; na rua dos Ourives n. 17.",,,,,,,,,,,,,
197,Jornal do Commercio,11,4,http://memoria.bn.br/docreader/364568_03/44,13-Jan-1840,venda,oferecendo serviço,1,,,,,marceneiro,,,M,18,,escravo,"Rua dos Ourives, 17",,"VENDE-SE hum molecote de 18 annos, peça, perito official de marceneiro de toda a obra, que dá-se a contento; na rua dos Ourives n. 17.",,,,,,,,,,,,,
198,Jornal do Commercio,11,4,http://memoria.bn.br/docreader/364568_03/44,13-Jan-1840,venda,oferecendo serviço,1,,,,,"ofício, pajem",,,M,16,,escravo,"Rua dos Ourives, 17",,"VENDE-SE hum lindo moleque peça, de 16 annos, proprio para officio ou pagem; na rua dos Ourives n. 17.",,,,,,,,,,,,,
199,Jornal do Commercio,11,4,http://memoria.bn.br/docreader/364568_03/44,13-Jan-1840,venda,oferecendo serviço,1,,,,,"pajem, ofício",,,M,16,,escravo,"Rua da Alfândega, 293",,"VENDE-SE, por precisão, um lindo moleque de 16 a 17 annos, proprio para pagem ou officio, na rua da Alfândega n. 293.",,,,,,,,,,,,,
200,Jornal do Commercio,11,4,http://memoria.bn.br/docreader/364568_03/44,13-Jan-1840,venda,oferecendo serviço,1,,,,,pedreiro,,,M,,,escravo,"Rua do Sabão, 262",,"NA RUA do Sabão n. 262, vendem-se, em primeira mão, hum pedreiro mestre em seu officio, e dous moleques.",,,,,,,,,,,,,
201,Jornal do Commercio,11,4,http://memoria.bn.br/docreader/364568_03/44,13-Jan-1840,venda,oferecendo serviço,1,,,,,serralheiro,,,M,,,escravo,"Rua do Senhor dos Passos, 182",,"VENDE-SE hum moleque official de serralheiro, na rua do Senhor dos Passos n. 182.",,,,,,,,,,,,,
202,Jornal do Commercio,11,4,http://memoria.bn.br/docreader/364568_03/44,13-Jan-1840,venda,oferecendo serviço,2,,,,,,,,M,,,escravos,"Rua do Sabão, 262",,"NA RUA do Sabão n. 262, vendem-se, em primeira mão, hum pedreiro mestre em seu officio, e dous moleques.",,,,,,,,,,,,,
203,Jornal do Commercio,12,4,http://memoria.bn.br/docreader/364568_03/48,14-Jan-1840,aluguel,oferecendo serviço,1,,,,,"ama de leite, mocamba",,,F,,,escrava,"Cosme Velho, 42",,"ALUGA-SE huma muito boa ama de leite, mocamba recolhida, com prendas e muito bom leite; no Cosme Velho, chacara n. 42.",,,,,,,,,,,,,
204,Jornal do Commercio,12,4,http://memoria.bn.br/docreader/364568_03/48,14-Jan-1840,aluguel,procurando serviço,1,,,,,"cozinheira, serviços domésticos",,,F,,preta,escrava,"Rua do Ouvidor, 118",,"PRECISA-SE de huma preta boa cozinheira, e que entenda do serviço de huma casa; na rua do Ouvidor n. 118",,,,,,,,,,,,,
205,Jornal do Commercio,12,4,http://memoria.bn.br/docreader/364568_03/48,14-Jan-1840,aluguel,procurando serviço,1,,,,,cozinheiro,,,M,,,escravos,"Rua dos Pescadores, 3",,"PRECISA-SE alugar, na rua dos pescadores n. 3, hum bom cozinheiro escravo.",,,,,,,,,,,,,
206,Jornal do Commercio,12,4,http://memoria.bn.br/docreader/364568_03/48,14-Jan-1840,aluguel,oferecendo serviço,1,,,,,"engomadeira, cozinheira",,,F,,,,"Subida do Castello, 5",,"NA CASA n. 5, a subir o Castello, existe huma Srª. parda que deseja alugar-se em huma casa de familia, ou Sr. solteiro, sabendo engommar e cozinhar divinamente, e dá fiador à sua conducta.",,,,,,,,,,,,,
207,Jornal do Commercio,12,4,http://memoria.bn.br/docreader/364568_03/48,14-Jan-1840,aluguel,procurando serviço,1,,,,,serviços domésticos,,,M,16,,escravo,"Rua Direita, 34",,"PRECISA-SE de hum moleque de 16 a 18 annos, para o serviço de casa; na rua Direita n. 34.",,,,,,,,,,,,,
208,Jornal do Commercio,12,4,http://memoria.bn.br/docreader/364568_03/48,14-Jan-1840,aluguel,procurando serviço,1,,,Paula Candido,,"tratador de animais, serviços dométicos",,,M,,,escravo,"Paredão da Glória, 56",,"PRECISA-SE alugar hum preto ou moleque, que saiba tratar de animaes, para tratar de hum, e fazer algum serviço interno da casa; quem o quizer alugar annuncie por este jornal, ou vá à casa n. 56, no paredão da Glória, em casa do Sr. Dr. Paula Candido, que lhe achará com quem tratar.",,,,,,,,,,,,,
209,Jornal do Commercio,12,4,http://memoria.bn.br/docreader/364568_03/48,14-Jan-1840,aluguel/compra,procurando serviço,>1,,,,,alfaiates,,,M,,,escravos,"Rua do Ouvidor, 133",,"PRECISA-SE de huma caseadeira que trabalhe, tanto em obra grande como em obra pequena, não importa que seja livre ou captiva, para casear em loja, ajustando-se por mez; tambem se precisa de officiaes de alfaiate; na rua do Ouvidor n. 133.",,,,,,,,,,,,,
210,Jornal do Commercio,12,4,http://memoria.bn.br/docreader/364568_03/48,14-Jan-1840,aluguel/compra,procurando serviço,1,,,,,caseadeira,,,F,,,,"Rua do Ouvidor, 133",,"PRECISA-SE de huma caseadeira que trabalhe, tanto em obra grande como em obra pequena, não importa que seja livre ou captiva, para casear em loja, ajustando-se por mez; tambem se precisa de officiaes de alfaiate; na rua do Ouvidor n. 133.",,,,,,,,,,,,,
211,Jornal do Commercio,12,3,http://memoria.bn.br/docreader/364568_03/47,14-Jan-1840,aluguel/compra,procurando serviço,1,,,,,"cozinheiro, engomador",,,M,,preto,escravo,"Rua do Cano, 239",,"PRECISA-SE alugar ou comprar hum preto que saiba cozinhar e engommar, para hum homem solteiro; na rua do Cano n. 239.",,,,,,,,,,,,,
212,Jornal do Commercio,12,4,http://memoria.bn.br/docreader/364568_03/48,14-Jan-1840,fuga,,1,,,Antonio Lopes do Couto,M,,Maria Roza,Crioula,F,,preta,escrava,Fazenda do Engenho Novo,,"Fugio da fazenda do Engenho Novo, no dia 7 do corrente, huma preta crioula, de nome Maria Roza, tendo os signaes seguintes: he já velha e mal encarada; levou vestido de chia escura com flores amarellas, quem a levar ou der noticia della na mesma fazenda a Antonio Lopes do Couto, receberá alviçaras.",,,,,,,,,,,,,
213,Jornal do Commercio,12,4,http://memoria.bn.br/docreader/364568_03/48,14-Jan-1840,fuga,,1,,,,,,Antonio,Monjolo,M,,retinto,escravos,"Praia do Peixe, 1",,"Fugio, no dia 26 de novembro de 1838, hum escravo de nome Antonio, nação Monjolo, com os signaes seguintes: alto, magro, côr retinta, com falta de um dente na frente da parte de cima; anda com caximbo no bolso, se intitula forro e foi escravo de D. Felicidade Perpetua do Nascimento, em Guaratiba, no lugar denominado Cantagallo, tendo sido arrematado em praça por Jacinto José de Oliveira, por execução feita à mesma Sra. no juízo da 1ª vara. Quem o levar a praia do Peixe n. 1, será gratificado.",,,,,,,,,,,,,
214,Jornal do Commercio,12,4,http://memoria.bn.br/docreader/364568_03/48,14-Jan-1840,fuga,,1,,,Antonio Ferreira Leite,,,Albino,,M,,,escravo,"Rua da Alfândega, 45",,"Fugio, em 10 de novembro proximo passado, da fazenda de Antonio Ferreira Leite, do Barreiro, hum escravo de nome Albino, de estatura baixa, e bonito de cara; roga-se a quem do mesmo souber, dirija-se à rua d'Alfândega, n. 45.",,,,,,,,,,,,,
215,Jornal do Commercio,12,4,http://memoria.bn.br/docreader/364568_03/48,14-Jan-1840,fuga,,1,,,,,,Felicia,Rebolo,F,,preta,escrava,"Rua da Princesa, 22",,"Fugio, no dia 21 de dezembro proximo passado, huma preta de nome Felicia, nação Rebolo, com algumas bobas pelo corpo, com huma cicatriz no rosto; quem a levar à rua da Princeza n. 22, será bem gratificado.",,,,,,,,,,,,,
216,Jornal do Commercio,12,4,http://memoria.bn.br/docreader/364568_03/48,14-Jan-1840,venda,oferecendo serviço,1,,,,,alfaiate,,,M,,,escravo,"Rua da Alfândega, 295",,"VENDEM-SE dous bonitos moleques, hum he bonito pagem e o outro tem principio de alfaiate, na rua da Alfândega n. 295.",,,,,,,,,,,,,
217,Jornal do Commercio,12,3,http://memoria.bn.br/docreader/364568_03/47,14-Jan-1840,venda,oferecendo serviço,2,,,,,alfaiates,,,M,,,escravos,"Rua de São Pedro, 91",,"VENDE-SE hum barbeiro e sangrador, dous alfaiates que cortão e fazem, e hum pardo perfeito pagem; na rua de S. Pedro n. 91.",,,,,,,,,,,,,
218,Jornal do Commercio,12,4,http://memoria.bn.br/docreader/364568_03/48,14-Jan-1840,venda,oferecendo serviço,1,,,,,"ama de leite, cozinheira, lavadeira",,,F,,,escrava,"Rua dos Ciganos, 23",,"VENDE-SE huma ama com muita abundancia de leite, que cozinha e lava com perfeição; e huma outra de nação Mina, excellente quitandeira, e lava muito bem de barrela e sabão; na rua dos Ciganos, n. 23.",,,,,,,,,,,,,
219,Jornal do Commercio,12,3,http://memoria.bn.br/docreader/364568_03/47,14-Jan-1840,venda,oferecendo serviço,1,,,,,"barbeiro, sangrador",,,M,,,escravo,"Rua de São Pedro, 91",,"VENDE-SE hum barbeiro e sangrador, dous alfaiates que cortão e fazem, e hum pardo perfeito pagem; na rua de S. Pedro n. 91.",,,,,,,,,,,,,
220,Jornal do Commercio,12,4,http://memoria.bn.br/docreader/364568_03/48,14-Jan-1840,venda,oferecendo serviço,1,,,,,"chacareiro, carroceiro",,,M,18,,escravo,"Rua do Carmo, 11",,"VENDE-SE, na rua do Carmo, n. 11, hum molecote de 18 annos d'idade, reforçado, bom chacareiro, e bom carroceiro de carroça e carro; ha outro de 20 a 22 annos, bom cozinheiro, e ambos são bonitos.",,,,,,,,,,,,,
221,Jornal do Commercio,12,3,http://memoria.bn.br/docreader/364568_03/47,14-Jan-1840,venda,oferecendo serviço,1,,,,,"costureira, engomadeira",,,F,14,negra,escrava,"Rua da Vala, 89",,"VENDE-SE, na rua da Valla n. 89, huma negrinha de 14 annos, que cose e engomma com perfeição, por commodo preço.",,,,,,,,,,,,,
